,District,Total Case,07 July 2020,08 July 2020,09 July 2020,10 July 2020,11 July 2020,12 July 2020,13 July 2020,14 July 2020,15 July 2020,16 July 2020,17 July 2020,18 July 2020,19 July 2020,20 July 2020,21 July 2020,22 July 2020,23 July 2020,24 July 2020,25 July 2020,26 July 2020,27 July 2020,28 July 2020,29 July 2020,30 July 2020,31 July 2020,01 August 2020,02 August 2020,03 August 2020,04 August 2020,05 August 2020,06 August 2020,07 August 2020,08 August 2020,09 August 2020,10 August 2020,11 August 2020,12 August 2020,13 August 2020,14 August 2020,15 August 2020,16 August 2020,17 August 2020,18 August 2020,19 August 2020,20 August 2020,21 August 2020,22 August 2020,23 August 2020,24 August 2020,25 August 2020,26 August 2020,27 August 2020,28 August 2020,29 August 2020,30 August 2020,31 August 2020,01 September 2020,02 September 2020,03 September 2020,04 September 2020,05 September 2020,06 September 2020,07 September 2020,08 September 2020,09 September 2020,10 September 2020,11 September 2020,12 September 2020,13 September 2020,14 September 2020,15 September 2020,16 September 2020,17 September 2020,18 September 2020,19 September 2020,20 September 2020,21 September 2020,22 September 2020,23 September 2020,24 September 2020,25 September 2020,26 September 2020,27 September 2020,28 September 2020,29 September 2020,30 September 2020,01 October 2020,02 October 2020,03 October 2020,04 October 2020,05 October 2020,06 October 2020,07 October 2020,08 October 2020,09 October 2020,10 October 2020,11 October 2020,12 October 2020,13 October 2020,14 October 2020,15 October 2020,16 October 2020,17 October 2020,18 October 2020,19 October 2020,20 October 2020,21 October 2020,22 October 2020,23 October 2020,24 October 2020,25 October 2020,26 October 2020,27 October 2020,28 October 2020,29 October 2020,30 October 2020,31 October 2020,01 November 2020,02 November 2020,03 November 2020,04 November 2020,05 November 2020,06 November 2020,07 November 2020,08 November 2020,09 November 2020,10 November 2020,11 November 2020,12 November 2020,13 November 2020,14 November 2020,15 November 2020,16 November 2020,17 November 2020,18 November 2020,19 November 2020,20 November 2020,21 November 2020,22 November 2020,23 November 2020,24 November 2020,25 November 2020,26 November 2020,27 November 2020,28 November 2020,29 November 2020,30 November 2020,01 December 2020,02 December 2020,03 December 2020,04 December 2020,05 December 2020,06 December 2020,07 December 2020,08 December 2020,09 December,10 December 2020,11 December 2020,12 December 2020,13 December 2020,14 December 2020,15 December 2020,July,August,September,October,November,December
0,Bagerhat,1032.0,223.0,33.0,7.0,14.0,33.0,12.0,20.0,15.0,2.0,0.0,34.0,12.0,5.0,22.0,42.0,14.0,26.0,20.0,9.0,0.0,3.0,7.0,21.0,2.0,26.0,8.0,0.0,26.0,0.0,0.0,1.0,0.0,57.0,24.0,3.0,2.0,4.0,15.0,32.0,0.0,13.0,2.0,6.0,7.0,1.0,17.0,20.0,9.0,2.0,17.0,4.0,1.0,3.0,12.0,0.0,11.0,8.0,0.0,0.0,5.0,7.0,4.0,2.0,4.0,1.0,5.0,10.0,7.0,0.0,10.0,3.0,4.0,0.0,4.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,5.0,2.0,0.0,3.0,1.0,3.0,1.0,1.0,0.0,0.0,4.0,1.0,3.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,602.0,297.0,91.0,21.0,12.0,1032.0
1,Bandarban,871.0,420.0,19.0,0.0,11.0,16.0,3.0,11.0,9.0,6.0,0.0,7.0,5.0,0.0,0.0,1.0,7.0,2.0,1.0,3.0,6.0,1.0,2.0,5.0,5.0,2.0,12.0,0.0,0.0,4.0,5.0,19.0,4.0,7.0,2.0,4.0,2.0,9.0,1.0,5.0,5.0,6.0,4.0,8.0,0.0,3.0,7.0,1.0,4.0,4.0,7.0,5.0,0.0,2.0,5.0,8.0,0.0,2.0,2.0,5.0,9.0,1.0,1.0,1.0,2.0,5.0,3.0,0.0,6.0,8.0,6.0,6.0,4.0,0.0,0.0,7.0,1.0,0.0,8.0,2.0,2.0,2.0,2.0,0.0,1.0,0.0,0.0,5.0,0.0,4.0,4.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,3.0,2.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,9.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,1.0,2.0,0.0,1.0,0.0,3.0,2.0,9.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,542.0,143.0,86.0,36.0,47.0,871.0
2,Barguna,1008.0,324.0,25.0,8.0,5.0,10.0,15.0,14.0,6.0,24.0,9.0,7.0,21.0,25.0,20.0,1.0,14.0,17.0,8.0,22.0,12.0,8.0,10.0,8.0,14.0,12.0,16.0,6.0,0.0,2.0,15.0,10.0,0.0,13.0,3.0,14.0,5.0,1.0,20.0,10.0,3.0,5.0,7.0,5.0,11.0,10.0,4.0,3.0,5.0,1.0,10.0,5.0,10.0,8.0,8.0,1.0,6.0,0.0,7.0,0.0,4.0,1.0,2.0,7.0,1.0,0.0,4.0,0.0,2.0,4.0,0.0,4.0,0.0,0.0,1.0,4.0,2.0,3.0,2.0,0.0,2.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,6.0,2.0,5.0,2.0,3.0,0.0,6.0,3.0,4.0,3.0,0.0,6.0,0.0,1.0,2.0,1.0,2.0,0.0,6.0,0.0,1.0,2.0,8.0,1.0,3.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,639.0,217.0,56.0,20.0,69.0,1008.0
3,Barishal,4571.0,1761.0,18.0,30.0,54.0,10.0,29.0,9.0,30.0,34.0,52.0,26.0,37.0,20.0,18.0,43.0,44.0,31.0,25.0,38.0,8.0,13.0,30.0,39.0,31.0,19.0,28.0,6.0,1.0,17.0,27.0,12.0,45.0,26.0,6.0,41.0,39.0,30.0,21.0,29.0,33.0,12.0,19.0,26.0,7.0,32.0,27.0,22.0,10.0,14.0,23.0,12.0,35.0,20.0,31.0,2.0,35.0,10.0,29.0,18.0,10.0,27.0,11.0,30.0,9.0,12.0,10.0,13.0,13.0,7.0,11.0,15.0,7.0,4.0,13.0,3.0,5.0,11.0,14.0,10.0,9.0,7.0,14.0,4.0,13.0,15.0,20.0,8.0,10.0,8.0,2.0,13.0,8.0,9.0,11.0,11.0,15.0,1.0,14.0,12.0,8.0,11.0,10.0,15.0,2.0,13.0,4.0,15.0,24.0,8.0,4.0,1.0,20.0,11.0,2.0,34.0,8.0,16.0,3.0,24.0,17.0,19.0,26.0,16.0,30.0,2.0,31.0,27.0,20.0,22.0,19.0,30.0,0.0,32.0,19.0,19.0,14.0,25.0,24.0,4.0,28.0,20.0,13.0,19.0,28.0,13.0,7.0,16.0,17.0,23.0,7.0,15.0,3.0,6.0,4.0,17.0,11.0,15.0,5.0,14.0,8.0,10.0,10.0,2449.0,688.0,374.0,328.0,567.0,4571.0
4,Bhola,926.0,345.0,12.0,5.0,0.0,14.0,12.0,11.0,0.0,15.0,8.0,0.0,21.0,1.0,12.0,15.0,6.0,0.0,4.0,5.0,1.0,8.0,5.0,4.0,7.0,17.0,4.0,3.0,6.0,4.0,9.0,3.0,7.0,5.0,1.0,9.0,3.0,3.0,7.0,6.0,6.0,2.0,3.0,2.0,0.0,6.0,5.0,3.0,4.0,4.0,5.0,7.0,1.0,4.0,2.0,1.0,2.0,10.0,3.0,1.0,8.0,1.0,4.0,2.0,0.0,6.0,2.0,1.0,3.0,2.0,0.0,1.0,7.0,0.0,1.0,1.0,2.0,4.0,3.0,1.0,0.0,2.0,2.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,5.0,3.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,3.0,0.0,5.0,4.0,1.0,2.0,4.0,1.0,4.0,5.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,8.0,6.0,2.0,6.0,4.0,0.0,8.0,3.0,1.0,4.0,1.0,0.0,6.0,7.0,3.0,8.0,4.0,4.0,2.0,2.0,4.0,2.0,2.0,2.0,1.0,3.0,5.0,4.0,3.0,5.0,3.0,1.0,1.0,4.0,4.0,2.0,2.0,0.0,0.0,1.0,3.0,0.0,7.0,1.0,2.0,0.0,4.0,528.0,127.0,70.0,70.0,100.0,926.0
5,Bogura,9240.0,3446.0,55.0,50.0,57.0,48.0,55.0,52.0,45.0,70.0,45.0,57.0,71.0,69.0,60.0,47.0,84.0,59.0,50.0,26.0,59.0,50.0,71.0,61.0,50.0,74.0,64.0,19.0,32.0,64.0,31.0,51.0,45.0,86.0,56.0,66.0,90.0,56.0,67.0,72.0,87.0,50.0,90.0,65.0,42.0,100.0,58.0,57.0,78.0,58.0,52.0,59.0,51.0,61.0,46.0,64.0,44.0,68.0,24.0,38.0,47.0,37.0,30.0,36.0,42.0,38.0,30.0,36.0,34.0,31.0,35.0,35.0,28.0,30.0,17.0,28.0,32.0,13.0,31.0,50.0,31.0,3.0,27.0,34.0,31.0,13.0,16.0,19.0,5.0,9.0,10.0,22.0,21.0,64.0,4.0,2.0,4.0,0.0,6.0,15.0,1.0,5.0,4.0,5.0,10.0,30.0,15.0,21.0,29.0,20.0,45.0,8.0,18.0,10.0,15.0,18.0,5.0,8.0,15.0,7.0,20.0,26.0,20.0,25.0,20.0,9.0,33.0,16.0,29.0,30.0,5.0,10.0,11.0,45.0,27.0,18.0,17.0,25.0,27.0,67.0,20.0,30.0,26.0,33.0,17.0,42.0,36.0,15.0,26.0,32.0,59.0,28.0,52.0,29.0,10.0,35.0,50.0,37.0,21.0,1.0,13.0,28.0,33.0,4811.0,1861.0,945.0,448.0,721.0,9240.0
6,Brahamanbaria,2714.0,1285.0,54.0,60.0,22.0,54.0,30.0,4.0,0.0,73.0,1.0,98.0,21.0,49.0,0.0,34.0,1.0,26.0,14.0,17.0,16.0,0.0,6.0,40.0,0.0,14.0,0.0,20.0,8.0,0.0,0.0,4.0,10.0,23.0,12.0,27.0,4.0,23.0,4.0,11.0,23.0,8.0,33.0,3.0,9.0,5.0,12.0,13.0,15.0,26.0,5.0,33.0,0.0,18.0,0.0,18.0,0.0,13.0,0.0,0.0,23.0,0.0,37.0,0.0,9.0,0.0,0.0,7.0,16.0,1.0,8.0,4.0,0.0,7.0,1.0,0.0,4.0,7.0,5.0,0.0,1.0,9.0,0.0,14.0,0.0,1.0,0.0,0.0,7.0,0.0,3.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,8.0,0.0,2.0,0.0,0.0,8.0,0.0,1.0,6.0,0.0,0.0,0.0,3.0,0.0,8.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,1.0,11.0,0.0,6.0,0.0,0.0,4.0,0.0,17.0,0.0,0.0,30.0,0.0,4.0,0.0,16.0,0.0,17.0,1.0,0.0,5.0,13.0,1.0,1.0,12.0,1.0,0.0,1.0,0.0,27.0,0.0,5.0,6.0,2.0,0.0,3.0,13.0,1919.0,367.0,167.0,48.0,141.0,2714.0
7,Chandpur,2600.0,1101.0,86.0,7.0,37.0,5.0,15.0,34.0,14.0,42.0,25.0,16.0,40.0,35.0,4.0,28.0,30.0,51.0,7.0,17.0,38.0,51.0,3.0,9.0,91.0,32.0,13.0,14.0,8.0,3.0,11.0,8.0,15.0,20.0,0.0,15.0,9.0,17.0,1.0,12.0,21.0,8.0,14.0,29.0,11.0,17.0,7.0,8.0,3.0,4.0,9.0,4.0,5.0,6.0,5.0,7.0,5.0,3.0,9.0,2.0,11.0,3.0,1.0,6.0,9.0,5.0,4.0,3.0,8.0,4.0,6.0,7.0,7.0,8.0,3.0,9.0,6.0,7.0,8.0,5.0,5.0,14.0,2.0,1.0,6.0,1.0,0.0,8.0,5.0,2.0,1.0,3.0,5.0,1.0,1.0,1.0,3.0,2.0,3.0,5.0,0.0,2.0,3.0,1.0,2.0,1.0,0.0,5.0,0.0,2.0,7.0,0.0,8.0,7.0,8.0,6.0,3.0,1.0,0.0,16.0,13.0,9.0,7.0,6.0,7.0,0.0,8.0,6.0,5.0,2.0,4.0,5.0,0.0,9.0,5.0,7.0,4.0,6.0,3.0,0.0,7.0,2.0,4.0,3.0,3.0,8.0,0.0,6.0,6.0,4.0,5.0,3.0,2.0,1.0,6.0,2.0,4.0,6.0,5.0,5.0,1.0,4.0,5.0,1818.0,309.0,163.0,96.0,155.0,2600.0
8,Chattogram,28112.0,10477.0,295.0,259.0,162.0,192.0,105.0,107.0,167.0,167.0,399.0,159.0,180.0,85.0,173.0,152.0,133.0,134.0,157.0,126.0,70.0,169.0,108.0,117.0,120.0,125.0,112.0,30.0,9.0,17.0,119.0,121.0,128.0,117.0,73.0,160.0,118.0,149.0,66.0,118.0,100.0,34.0,36.0,128.0,145.0,97.0,89.0,83.0,32.0,105.0,88.0,76.0,74.0,104.0,88.0,26.0,72.0,58.0,82.0,107.0,63.0,61.0,22.0,71.0,74.0,54.0,53.0,53.0,49.0,51.0,75.0,73.0,76.0,43.0,67.0,60.0,25.0,52.0,56.0,77.0,63.0,53.0,43.0,26.0,56.0,44.0,66.0,54.0,90.0,57.0,39.0,71.0,67.0,65.0,79.0,100.0,87.0,44.0,90.0,60.0,101.0,74.0,90.0,82.0,55.0,91.0,76.0,78.0,110.0,94.0,81.0,32.0,92.0,96.0,43.0,98.0,91.0,92.0,32.0,82.0,80.0,80.0,96.0,86.0,94.0,63.0,103.0,108.0,107.0,113.0,108.0,146.0,63.0,181.0,157.0,178.0,161.0,197.0,145.0,64.0,242.0,183.0,106.0,223.0,206.0,188.0,68.0,291.0,199.0,260.0,231.0,240.0,198.0,147.0,233.0,213.0,192.0,185.0,179.0,144.0,78.0,193.0,285.0,14338.0,2714.0,1753.0,2379.0,3951.0,28112.0
9,Chuadanga,1619.0,295.0,7.0,2.0,14.0,0.0,10.0,5.0,16.0,13.0,14.0,14.0,5.0,31.0,46.0,0.0,23.0,21.0,1.0,20.0,7.0,7.0,29.0,8.0,24.0,29.0,10.0,25.0,0.0,0.0,30.0,71.0,30.0,27.0,0.0,40.0,12.0,23.0,51.0,0.0,45.0,10.0,16.0,45.0,33.0,18.0,0.0,0.0,0.0,10.0,23.0,30.0,17.0,4.0,18.0,17.0,12.0,3.0,16.0,5.0,6.0,8.0,0.0,6.0,7.0,7.0,11.0,14.0,9.0,0.0,13.0,9.0,3.0,6.0,8.0,3.0,0.0,7.0,5.0,7.0,3.0,2.0,2.0,0.0,4.0,5.0,0.0,0.0,5.0,2.0,0.0,7.0,4.0,3.0,5.0,1.0,0.0,0.0,1.0,3.0,2.0,5.0,3.0,8.0,0.0,6.0,0.0,8.0,1.0,1.0,7.0,0.0,5.0,2.0,0.0,2.0,2.0,1.0,0.0,5.0,4.0,1.0,0.0,5.0,2.0,0.0,2.0,1.0,3.0,2.0,1.0,3.0,0.0,4.0,2.0,4.0,3.0,7.0,0.0,0.0,3.0,7.0,6.0,6.0,1.0,3.0,0.0,3.0,2.0,2.0,1.0,1.0,1.0,0.0,2.0,6.0,1.0,2.0,8.0,0.0,0.0,0.0,4.0,641.0,617.0,169.0,84.0,78.0,1619.0
