,Date,Total cases,Total deaths,Total tested,Total recovered,New cases,New deaths,New tested,New recovered,Total death rate,Daily death rate,Total positive rate,Daily positive rate,Total recovery rate,Daily recovery rate
0,22/1/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,23/1/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,24/1/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,25/1/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,26/1/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,27/1/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,28/1/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,29/1/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,30/1/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,31/1/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,1/2/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2/2/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,3/2/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,4/2/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,5/2/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,6/2/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,7/2/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,8/2/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,9/2/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,10/2/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,11/2/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,12/2/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,13/2/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,14/2/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,15/2/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,16/2/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,17/2/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,18/2/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,19/2/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,20/2/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,21/2/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,22/2/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,23/2/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,24/2/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,25/2/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,26/2/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,27/2/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,28/2/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,29/2/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,1/3/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,2/3/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,3/3/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,4/3/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,5/3/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,6/3/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,7/3/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,8/3/20,3,0,9,0,3,0,9,0,0,0,33.3,33.3,0,0
47,9/3/20,3,0,16,0,0,0,7,0,0,0,18.8,0,0,0
48,10/3/20,3,0,26,0,0,0,10,0,0,0,11.5,0,0,0
49,11/3/20,3,0,36,0,0,0,10,0,0,0,8.3,0,0,0
50,12/3/20,3,0,52,0,0,0,16,0,0,0,5.8,0,0,0
51,13/3/20,3,0,76,0,0,0,24,0,0,0,3.9,0,0,0
