Name,Category,Latitude,Longitude,Address,Phone,Website,Monday,id
Institute of Public Health,Hospital,23.777896,90.400098,"Directorate General of Health Services (DGHS)Mohakhali, Dhaka-1212",(0088)02 8816459,www.dghs.gov.bd,09:00-17:00,
"International Centre for Diarrhoeal Disease Research, Bangladesh",Hospital,23.776395,90.400037," 68, Shaheed Tajuddin Ahmed Sarani, Mohakhali, Dhaka 1212",(0088)02-982-7001,https://www.icddrb.org/,,
Bangabandhu Sheikh Mujib Medical University,Hospital,23.739723,90.394257,"Bangabandhu Sheikh Mujib Medical University (BSMMU) Shahbag, Dhaka-1000",(0088)09611677777,https://bsmmu.edu.bd/,,
Armed Forces Institute of Pathology,Hospital,23.813885,90.400871,"Near Zia Colony MP Check Post, Opposite Radisson Blu, Beside Kurmitola General Hospital, Dhaka Cantonment, Dhaka 1206",(0088)02 8816459,http://www.afmc.edu.bd/,,
Dhaka Shishu Hospital,Hospital,23.773048,90.368463,"Sher-e-Bangla Nagar, Dhaka-1207",(0088)0-2-912830,http://dhakashishuhospital.org.bd/,,
Institute for Developing Science and Health Initiatives,Hospital,23.781082,90.400641,"Institute of Public Health Building, 2nd Floor, Dhaka 1212",(0088)01793 163 304 ,https://www.ideshi.org/,,
Dhaka Medical College Hospital,Hospital,23.725606,90.397217,"100 Ramna, Central Shaeed Minar Area, Bakshi Bazar, Dhaka - 1000","(0088)02 55165088
",http://www.dmc.gov.bd/,,
Rangpur Medical College,Hospital,25.767003,89.231595,"Rangpur- Dinajpur Highway, Cantt, Near Central Jail, Rangpur 5400",(0088)05215388,http://www.rcmc.com.bd/,,
Mymensingh Medical College,Hospital,24.741530,90.408891,"Char Para, Medical Road, Mymensingh-2200",(0088)091 66063,http://www.mmc.gov.bd/,,
Bangladesh Institute of Tropical Medicine,Hospital,22.392723,91.758524,"Fouzderhat, Chittagong - 4317",(0088)0244075160,https://bitid.gov.bd/,,
Rajshahi Medical College and Hospital,Hospital,24.372009,88.586351,"Medical College Road, Laxmipur, Rajpara, Rajshahi-6100",(0088)0721-772150,http://rmc.gov.bd/,,
Cox's Bazar Medical College,Hospital,21.420190,92.014897,"Cox's Bazar Medical College Road, Cox's Bazar-4700",(0088)01711186518,http://facilityregistry.dghs.gov.bd/,,
Cumilla Medical College,Hospital,23.451546,91.200771,"Kuchaitoli, Dr Akhtar Hameed Khan Rd, Cumilla 3500",(0088)081-65401,https://comch.gov.bd/,,
Abdul Malek Ukil Medical College,Hospital,22.951504,91.101607,"Begamganj - Sonaimuri - Ramganj Rd, Chowmuhani, Noakhali",(0088)0321-54300,,,
Shahid Suhrawardy Medical College,Hospital,23.769219,90.369172,"Sher-E-Bangla Nagar, Dhaka-1207",(0088)02-8144048,http://www.shsmc.gov.bd/,,
Chittagong Medical College,Hospital,22.359275,91.828615,"57, K.B. Fazlul Kader road, P.S. Panchlaish, P.O, Chattogram 4203",(0088)031-630180,http://cmch.gov.bd/,,
Sylhet MAG Osmani Medical College,Hospital,24.9009609,91.8512238,"Osmani Medical, Sylhet",(0088)0821-713667,http://magosmanimedical.com/,,
"National Institute of Laboratory Medicine and Referral Center
",Hospital ,23.775707,90.3673415,"Sher-E-Bangla Nagar, Agargoan, Dhaka-1207, Bangladesh",(0088)02-9139817,http://www.nilmrc.gov.bd/,,
"The Institute of Epidemiology, Disease Control and Research (IEDCR)",Hospital ,23.7796629,90.3980184,"44 Mohakhali, Dhaka 1212",(0088)02-9898796,http://www.iedcr.gov.bd/,,
Evercare Hospital Dhaka,Hospital ,23.8099115,90.4288689,"Plot: 81 Block: E, Dhaka 1229",(0088)09666-710678,https://www.evercarebd.com/,,
Bangladesh Livestock Research Institute,Hospital ,23.8886574,90.2716702,"Dhaka - Aricha Hwy, Ashulia",(0088)01705-763586,http://www.blri.gov.bd/,09:00-17:00,
National Institute of Preventive and Social Medicine,Hospital ,23.7785806,90.3971017,"Mohakhali, Dhaka 1212",(0088)01712017973,https://www.nipsom.gov.bd/,,
Mugda Medical College and Hospital,Hospital ,23.7320172,90.4278284,"Hazi Kadam Ali Rd, Dhaka",(0088)01553-306518,,,
Kurmitola General Hospital,Hospital ,23.8191266,90.4072166,"Tongi Diversion Rd, Dhaka 1206",(0088)01769010200,http://kgh.gov.bd/,,
