,date,daily_vaccinations,people_fully_vaccinated,daily_vaccinations_per_million,daily_people_vaccinated_per_hundred,daily_2nd_dose,total_vaccinations
0,2021-01-26,0,0,0,0.0,0,0
1,2021-01-27,26,0,0,0.0,0,26
2,2021-01-28,284,0,2,0.0,0,310
3,2021-01-29,1209,0,7,0.001,0,1519
4,2021-01-30,1671,0,10,0.001,0,3190
5,2021-01-31,1949,0,12,0.001,0,5139
6,2021-02-01,2134,0,13,0.001,0,7273
7,2021-02-02,2266,0,14,0.001,0,9539
8,2021-02-03,2700,0,16,0.002,0,12239
9,2021-02-04,3059,0,18,0.002,0,15298
10,2021-02-05,3059,0,18,0.002,0,18357
11,2021-02-06,3059,0,18,0.002,0,21416
12,2021-02-07,3059,0,18,0.002,0,24475
13,2021-02-08,13205,0,79,0.008,0,37680
14,2021-02-09,23351,0,140,0.014,0,61031
15,2021-02-10,45549,0,274,0.027,0,106580
16,2021-02-11,64108,0,385,0.039,0,170688
17,2021-02-12,82667,0,497,0.05,0,253355
18,2021-02-13,101226,0,609,0.061,0,354581
19,2021-02-14,124982,0,752,0.075,0,479563
20,2021-02-15,146782,0,883,0.088,0,626345
21,2021-02-16,168614,0,1014,0.101,0,794959
22,2021-02-17,178371,0,1073,0.107,0,973330
23,2021-02-18,196796,0,1183,0.118,0,1170126
24,2021-02-19,194555,0,1170,0.117,0,1364681
25,2021-02-20,192314,0,1156,0.116,0,1556995
26,2021-02-21,184212,0,1108,0.111,0,1741207
27,2021-02-22,167921,0,1010,0.101,0,1909128
28,2021-02-23,161634,0,972,0.097,0,2070762
29,2021-02-24,155239,0,933,0.093,0,2226001
30,2021-02-25,143232,0,861,0.086,0,2369233
31,2021-02-26,136037,0,818,0.082,0,2505270
32,2021-02-27,128842,0,775,0.077,0,2634112
33,2021-02-28,130715,0,786,0.079,0,2764827
34,2021-03-01,131123,0,788,0.079,0,2895950
35,2021-03-02,121493,0,731,0.073,0,3017443
36,2021-03-03,112614,0,677,0.068,0,3130057
37,2021-03-04,104318,0,627,0.063,0,3234375
38,2021-03-05,99568,0,599,0.06,0,3333943
39,2021-03-06,94817,0,570,0.057,0,3428760
40,2021-03-07,81661,0,491,0.049,0,3510421
41,2021-03-08,88863,0,534,0.053,0,3599284
42,2021-03-09,96065,0,578,0.058,0,3695349
43,2021-03-10,93530,0,562,0.056,0,3788879
44,2021-03-11,90994,0,547,0.055,0,3879873
45,2021-03-12,94755,0,570,0.057,0,3974628
46,2021-03-13,98516,0,592,0.059,0,4073144
47,2021-03-14,102277,0,615,0.062,0,4175421
48,2021-03-15,91598,0,551,0.055,0,4267019
49,2021-03-16,80918,0,487,0.049,0,4347937
50,2021-03-17,74009,0,445,0.045,0,4421946
51,2021-03-18,67100,0,403,0.04,0,4489046
52,2021-03-19,63738,0,383,0.038,0,4552784
53,2021-03-20,60377,0,363,0.036,0,4613161
54,2021-03-21,62604,0,376,0.038,0,4675765
55,2021-03-22,60380,0,363,0.036,0,4736145
56,2021-03-23,58584,0,352,0.035,0,4794729
57,2021-03-24,62134,0,374,0.037,0,4856863
58,2021-03-25,64519,0,388,0.039,0,4921382
59,2021-03-26,65747,0,395,0.04,0,4987129
60,2021-03-27,66974,0,403,0.04,0,5054103
61,2021-03-28,62614,0,377,0.038,0,5116717
62,2021-03-29,58254,0,350,0.035,0,5174971
